Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Data Scientist,BigTree Entertainment,Mumbai City,"Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge of SQL query, Stored","May 03, 2020"
Associate Data Scientist,HR Devi and Associates,Mumbai City,Location : Mumbai Experience : 1 2 Years Function : Technology - IT & Systems Vacancy : 1 Job Description : Job Description:- Preferably 1-2 years experience in applying Machine,"Apr 30, 2020"
Data Scientist - R Modeling,Golden Opportunities Pvt Ltd.,Mumbai City,Job Description As a modeling expert you will be involve in creating & modifying statistical models to meet client as well as organization needs. The statistical model will be on,"Apr 28, 2020"
Data Engineer,The Talent GPS,Mumbai City,"Looking for a rock star Software Engineer having good hands- on experience in Machine Learning, that helps in increasing the speed and performance of the product. Roles & Responsibilities Work","Apr 28, 2020"
Client Services Development Leader,2Soft Solutions Pvt. Ltd.,Mumbai City,Experience 6-15 years including at least 3 years leading people Prefer Tier 1 capital markets experience. The candidate can come from a well-regarded global company in an industry where technology,"May 04, 2020"
Senior Data Scientist,Oracle,Mumbai City,"Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications. As a member of the","Apr 06, 2020"
Senior Manager - Data Science,Oracle,Mumbai City,"Manage a team that designs, develops, troubleshoots and debugs software programs for databases, applications, tools, networks etc. As a manager of the software engineering division, you will apply your knowledge","Apr 06, 2020"
Data Scientist,BigTree Entertainment,Mumbai City,"What will you do: Should have working knowledge of relational Database designs (SQL Server, MySQL, Oracle). Should have knowledge of Queue management systems (Redis, MSMQ, RabitMQ etc). Should have knowledge","Apr 30, 2020"
Data Science (ETO-Engineering),Global Talent Pool,Mumbai City,Understanding of applied statistics and fundamental ML principles and techniques Ability to apply fundamental algorithms and data structures to efficiently solve computational problems Working knowledge of more than one programming,"Apr 19, 2020"
Business Intelligence Analyst,Amazon,Mumbai City,"Support the Marketing, Product and Finance teams on business reporting, ad hoc analysis, statistical inference and predictive modelling for all Prime Video India. Mine and analyze data pertaining to customers","May 03, 2020"
HR AND ADMINISTRATION,VALUE C CONSULTING SERVICES PRIVATE LIMITED,Mumbai City,We are looking for an accomplished candidate in Human Resource Role with Information Technology Background Basic understanding of Data Science / Cyber sec / Robotics / Software etc IF YOU,"May 04, 2020"
Product Manager Discovery & Personalization,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Product Manager to join our core Product team. You ll work closely with PMs, engineers, and data teams to build and improve our personalization and","Apr 29, 2020"
Data Scientist,Inference Labs,Mumbai City,"2 - 5 years of experience with data exploration / analytics modelling, preferably in the financial services industry. Strong foundation of statistical methods and their workings. Should have used advanced","Apr 26, 2020"
Senior Data Scientist,JoinHandsHR,Mumbai City,"Require Senior Data Scientist,","Apr 27, 2020"
CTO/Technology Head,AXCESS CONSULTANCY SERVICES,Mumbai City,1. Work on refining existing technology architecture and lead end to end design and implementation of new products 2. Translate business requirements into technology specifications and architecture blueprints 3. Build,"May 03, 2020"
"Data Analyst , Strategy & Operations",Saavn Media Pvt Ltd,Mumbai City,ROLE: JioSaavn is seeking a driven and open-minded Data Analyst to join our growing global team. The role will be an integral member of the Strategy Operations team and will,"May 04, 2020"
Principal Data Scientist,Oracle,Mumbai City,"Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. Writes code, completes programming and performs testing and debugging of applications. As a member of the","Apr 06, 2020"
Senior Software Engineer,BA Continuum India Pvt. Ltd.,Mumbai City,Hadoop Developer role- The Individual will be a part of Shared Technology Services (STS) providing Big Data Hadoop based solutions to multiple lines of business. Responsibilities Be a good team,"Apr 29, 2020"
"AVP Engineering (Python, Django,Architecture, Docker)",HR Devi and Associates,Mumbai City,"Job description Technical Responsibilities: Work across Software Engineering, Data Science, and Client delivery teams to understand their goals and execute on the roadmap for product development With the help of","Apr 30, 2020"
Data Scientist - Python/ R/sql/machine Learning/spark/scala,DATA TRAINED EDUCATION,Navi Mumbai,To interpret complex requirements and translate them to machine learning algorithm. Experience working with Cloud platforms is preferable. Bachelor's Degree with 0-10 years of experience in Data Science. Proficiency in,"Apr 10, 2020"
Product Manager Android,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Product Manager to join our core Product team. You ll work closely with PMs, engineers, designers, and other teams to manage and develop JioSaavn on","Apr 29, 2020"
Product Manager IOS,Saavn Media Pvt Ltd,Mumbai City,"ROLE JioSaavn is seeking a Product Manager to join our core Product team. You ll work closely with PMs, engineers, designers, and other teams to manage and develop JioSaavn","Apr 29, 2020"
